 time_ms; accl_x; accl_y; accl_z;;;;;;;;;time;acc_x;acc_y;acc_z;;;;;;
1546278;-88;82;2123;;-42,944;40,016;1036,024;;;;;1546,278;-0,042944;0,040016;1,036024;;;;;;1546278
1546625;-89;92;2124;;-43,432;44,896;1036,512;;;;;1546,625;-0,043432;0,044896;1,036512;;;;;;1546625
1546943;-93;85;2123;;-45,384;41,48;1036,024;;;;;1546,943;-0,045384;0,04148;1,036024;;;;;;1546943
1547175;-86;89;2122;;-41,968;43,432;1035,536;;;;;1547,175;-0,041968;0,043432;1,035536;;;;;;1547175
1547600;-87;86;2124;;-42,456;41,968;1036,512;;;;;1547,6;-0,042456;0,041968;1,036512;;;;;;1547600
1547836;-89;91;2126;;-43,432;44,408;1037,488;;;;;1547,836;-0,043432;0,044408;1,037488;;;;;;1547836
1548068;-90;85;2123;;-43,92;41,48;1036,024;;;;;1548,068;-0,04392;0,04148;1,036024;;;;;;1548068
1548493;-91;88;2124;;-44,408;42,944;1036,512;;;;;1548,493;-0,044408;0,042944;1,036512;;;;;;1548493
1548956;-82;89;2122;;-40,016;43,432;1035,536;;;;;1548,956;-0,040016;0,043432;1,035536;;;;;;1548956
1549273;-85;93;2123;;-41,48;45,384;1036,024;;;;;1549,273;-0,04148;0,045384;1,036024;;;;;;1549273
1549597;-84;85;2121;;-40,992;41,48;1035,048;;;;;1549,597;-0,040992;0,04148;1,035048;;;;;;1549597
1549829;-91;91;2124;;-44,408;44,408;1036,512;;;;;1549,829;-0,044408;0,044408;1,036512;;;;;;1549829
1550065;-94;80;2122;;-45,872;39,04;1035,536;;;;;1550,065;-0,045872;0,03904;1,035536;;;;;;1550065
1550490;-85;91;2127;;-41,48;44,408;1037,976;;;;;1550,49;-0,04148;0,044408;1,037976;;;;;;1550490
1550718;-91;83;2125;;-44,408;40,504;1037;;;;;1550,718;-0,044408;0,040504;1,037;;;;;;1550718
1551059;-87;91;2119;;-42,456;44,408;1034,072;;;;;1551,059;-0,042456;0,044408;1,034072;;;;;;1551059
1551615;-90;89;2124;;-43,92;43,432;1036,512;;;;;1551,615;-0,04392;0,043432;1,036512;;;;;;1551615
1551933;-96;90;2125;;-46,848;43,92;1037;;;;;1551,933;-0,046848;0,04392;1,037;;;;;;1551933
1552273;-87;87;2123;;-42,456;42,456;1036,024;;;;;1552,273;-0,042456;0,042456;1,036024;;;;;;1552273
1552615;-93;87;2123;;-45,384;42,456;1036,024;;;;;1552,615;-0,045384;0,042456;1,036024;;;;;;1552615
1552933;-90;89;2125;;-43,92;43,432;1037;;;;;1552,933;-0,04392;0,043432;1,037;;;;;;1552933
1553289;-90;88;2125;;-43,92;42,944;1037;;;;;1553,289;-0,04392;0,042944;1,037;;;;;;1553289
1553609;-88;87;2123;;-42,944;42,456;1036,024;;;;;1553,609;-0,042944;0,042456;1,036024;;;;;;1553609
1553927;-88;88;2126;;-42,944;42,944;1037,488;;;;;1553,927;-0,042944;0,042944;1,037488;;;;;;1553927
1554260;-89;89;2122;;-43,432;43,432;1035,536;;;;;1554,26;-0,043432;0,043432;1,035536;;;;;;1554260
